P³eæ,Wiek,S.C.,EE,Student,Dochod,CzasGry,gatunekGry,Wydatki
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,5,MOBA,100
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,50,MMORPG,700
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,3000,20,MOBA,200
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,1200,20,MOBA,300
M,18-25 lat,kawaler/pan,Studia magisterskie,Pracujacy,2300,20,MOBA,200
M,25-40 lat,w zwiazku malzenskim,Studia magisterskie,Pracujacy,3000,20,MMORPG,600
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,2700,20,SPORTOWE,150
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,2500,40,MMORPG,1000
K,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,3000,20,RPG,500
K,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,3200,20,BATTLE ROYAL,300
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,4500,50,MMORPG,1300
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,3000,70,mboa oraz mmorpg po rowno,100
M,25-40 lat,kawaler/pan,Studia I stopnia,Pracujacy,3400,25,MMORPG,500
M,18-25 lat,zareczony/zareczo,Szkola Srednia,Pracujacy,2000,42,MMORPG,200
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,5000,56,MMORPG,300
K,25-40 lat,kawaler/pan,Studia I stopnia,Pracujacy,5500,20,MMORPG,500
M,25-40 lat,w zwiazku malzenskim,Szkola Srednia,Pracujacy,3000,6,RPG,800
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,1500,30,MMORPG,500
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,1300,1,FPS,50
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,40,RPG,600
K,25-40 lat,w zwiazku malzenskim,Studia I stopnia,Pracujacy,3000,28,RPG,400
K,25-40 lat,kawaler/pan,Studia I stopnia,Pracujacy,5000,12,MMORPG,300
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,50,MOBA,800
M,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy;Student,3000,40,MOBA,5000
M,25-40 lat,w zwiazku malzenskim,Studia magisterskie,Pracujacy,5000,20,RPG,400
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,4500,35,RPG,100
K,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,2500,1,,0
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,3500,60,MMORPG,1000
M,25-40 lat,kawaler/pan,Studia magisterskie,Pracujacy,2200,30,MMORPG,1000
K,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,2000,20,MMORPG,300
M,18-25 lat,zareczony/zareczo,Studia I stopnia,Student,5000,20,MMORPG,4000
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,1250,2,RPG,450
